OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,Shape__Are,Shape__Len,American_F,Centroid_L,Centroid_1,TIGER_Land,TIGER_Wate,Population,Populati_1,Median_Household Income,Median_Age,Percent_18,Age_Depend,Old_Age_De,Child_Depe,Percent_Ve,Percent_Ho,Median_Mon,Percent_w_,Percent_25,F2012_2016,F2007_2011,State Name,Latitude,Longitude,Arthritis Prevalence Percent,Arthritis Prevalence MOE,Asthma Prevalence Percent,Asthma Prevalence MOE,Asthma Mortality per 1MM,Asthma Mortality MOE,Coronary Mortality per 100K,Coronary Mortality MOE,Heart Fail Mortality per 100K,Heart Fail Mortality MOE,Stroke Mortality per 100K,Stroke Mortality MOE,Kidney Mortality per 100K,Kidney Mortality MOE,Kidney Prevalence Percent,Kidney Prevalence MOE,Chronic_liver_disease_mortality,Chronic Liver Disease_MOE,COPD Prevalence Percent,COPD Prevalence MOE,COPD Mortality per 100K,COPD Mortality MOE,Diabetes Prevalence Percent,Diabetes Prevalence MOE,Diabetes Mortality per 100K,Diabetes Mortality MOE,No Tooth Loss Percent,No Tooth Loss MOE
1,1,1,1,72,1779808,0400000US72,72,PR,Puerto Rico,0,8868734851,4922543816,10062700126,777497.6371,0400000US72,18.22203296,-66.46501722,3424,1901,3529385,1030.7,19606,39.4,78.3,64.3,28.6,35.7,3.3,68.6,350,93.7,17.7,29.3,29.5,Puerto Rico,18.2208,-66.5901,21.9,1.3,10.7,1.2,,,,,,,,,,,2.7,1.8,,,3.7,0.6,,,14.3,0.9,,,44.4,2.1
2,1,2,2,28,1779790,0400000US28,28,MS,Mississippi,0,1.22E+11,3930182746,1.75E+11,2975967.204,0400000US28,32.75086061,-89.66520805,46923,1517,2989192,63.7,40528,36.7,75.5,63.3,23.3,40,8,67.9,682,85.4,13.1,23.9,24.2,Mississippi,32.7455,-89.538,29.4,1.4,7.9,1,14.5,3.9,107.6,3.6,137.9,4.1,48.8,2.4,64.6,2.7,2.8,2.1,10.3,1.1,7.1,0.9,255.4,9.3,12.1,1.1,92.7,3.3,49.9,2.1
3,1,3,3,5,68085,0400000US05,5,AR,Arkansas,0,1.35E+11,2963631791,2.05E+11,2627535.301,0400000US05,34.899739,-92.43926114,52034,1144,2968472,57,42336,37.7,76.2,65.3,25.9,39.4,9.5,65.7,679,87.7,13.9,21.2,21.6,Arkansas,34.7487,-92.2745,31.6,2.2,8.5,1.3,11,3.5,130.2,3.9,109.2,3.4,45.4,2.2,65.8,2.7,2.7,1.6,10.4,1.1,8.2,0.9,272.9,9.2,11.6,1.1,71.6,2.9,55.7,2.9
4,1,4,4,54,1779805,0400000US54,54,WV,West Virginia,0,62265662566,489840834,1.03E+11,2543703.426,0400000US54,38.64259115,-80.61370859,24041,189,1846092,76.8,42644,41.9,79.4,62.2,28.8,33.4,9.9,72.5,577,90.4,11.9,25.5,25.6,West Virginia,38.6655,-80.7126,34.4,1.2,11.8,1,11.9,2.5,122.2,4.5,111,4.2,45.3,2.7,77,3.5,3.2,3.2,14.3,1.6,12.3,1,363.6,12.7,12.2,0.9,101.5,4.1,51.2,1.6
5,1,5,5,1,1779775,0400000US01,1,AL,Alabama,0,1.31E+11,4592944701,1.90E+11,2320154.403,0400000US01,32.78982605,-86.82836709,50646,1773,4841164,95.6,44758,38.6,77.2,61.7,24.8,36.9,9.4,68.5,736,88.4,15.1,24,24.5,Alabama,32.8406,-86.6319,31,1.3,9.8,1,10.7,2.6,91.8,2.5,106.6,2.8,48.3,1.8,60.1,2,2.8,1.9,11.8,0.9,9.7,0.8,240.3,6.8,11.9,0.8,59.5,2.1,55.4,1.8
6,1,6,6,21,1779786,0400000US21,21,KY,Kentucky,0,1.02E+11,2388731561,1.67E+11,2699943.204,0400000US21,37.52666029,-85.2904514,39485,922,4411989,111.7,44811,38.6,77,60.7,23.8,36.9,8.6,66.8,721,90.4,13.4,22.6,23,Kentucky,37.646,-84.775,31.1,1.3,11.5,1,7.5,2.3,109.8,2.9,109.5,3,41.8,1.8,76.3,2.5,3.3,2.4,11.5,0.9,11.6,1,344.6,8.7,11.5,0.9,89.6,2.7,59.2,1.7
7,1,7,7,22,1629543,0400000US22,22,LA,Louisiana,0,1.12E+11,23746413153,1.67E+11,4587108.869,0400000US22,31.05840137,-91.98565584,43206,9168,4645670,107.5,45652,36.2,76,60.3,21.9,38.4,7.6,65.4,759,85.9,15.1,24.9,25.2,Louisiana,31.3127,-92.4457,26.4,1.6,8.4,1.2,12.4,3,109.1,2.9,98.1,2.8,45.6,2,59,2.2,2.8,1.3,9.8,0.9,7.3,0.7,222.5,7.1,10.5,0.7,69.8,2.4,57.7,2.5
8,1,8,8,35,897535,0400000US35,35,NM,New Mexico,0,3.14E+11,733669653,4.64E+11,2899312.783,0400000US35,34.42136519,-106.1083788,121309,283,2082669,17.2,45674,37.2,75.9,64.9,25.2,39.7,10,67.8,783,85.6,15,21.8,21.7,New Mexico,34.5209,-106.2406,25.4,1.3,11.9,1.3,12.2,4.2,96,4,71.7,3.4,34.7,2.4,44.4,2.8,3,2.7,22.5,2.1,5.3,0.6,224.2,10.2,10.5,0.8,56,3.8,62,2.1
9,1,9,9,47,1325873,0400000US47,47,TN,Tennessee,0,1.07E+11,2354836197,1.66E+11,2590941.004,0400000US47,35.8429803,-86.34337548,41235,909,6548009,158.8,46574,38.5,77.2,60.9,24.2,36.7,9,66.3,802,88.2,16.1,24,24.7,Tennessee,35.6809,-85.7745,28.4,1.3,11,1.3,8.3,1.1,133.1,2.7,95.6,2.2,45.8,1.6,63.1,1.9,2.9,1.8,12,0.8,10,1.1,288.3,6.5,11.9,1.1,79.3,2.1,59.4,2.2
10,1,10,10,45,1779799,0400000US45,45,SC,South Carolina,0,77862731483,5071381300,1.17E+11,1903283.484,0400000US45,33.90796765,-80.8961365,30063,1958,4834605,160.8,46898,38.8,77.5,61.8,25.5,36.3,10.1,68.4,813,86.7,16.9,23.3,24.1,South Carolina,33.9988,-81.0454,27.2,1,8.8,0.8,,,95.1,2.7,105,2.8,44.2,1.8,68.5,2.2,2.5,1.7,11.8,0.9,7.1,0.6,254.8,7.2,10.8,0.6,73.1,2.2,60.2,1.6
